Nilai Pajak,Jenis Penerimaan Pajak,Kota/Kab,Predicted_Cluster
12054909512,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Timur,9
67100869102,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
37284573826,PPh Pasal 26,Kabupaten Bolaang Mongondow Timur,9
90460007376,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
5425705073,PPh Pasal 21,Kabupaten Siau Tagulandang Biaro,5
23806784704,Pendapatan PPh DTP,Kabupaten Minahasa Utara,3
32982014619,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
54029546241,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
52625957572,PPN Impor,Kota Bitung,3
96962310543,PPh Final,Kabupaten Bolaang Mongondow Selatan,2
27118262215,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
65540822774,PPh Pasal 21,Kota Bitung,5
45582448592,PPh Pasal 21,Kabupaten Kepulauan Sangihe,5
30187958781,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Timur,9
94243305506,PPh Final,Kabupaten Minahasa Selatan,2
72062187148,PBB dan BPHTB,Kabupaten Minahasa Selatan,3
66179009951,Pendapatan PPh DTP,Kabupaten Siau Tagulandang Biaro,3
7500994710,PPh Pasal 23,Kota Tomohon,5
89926667420,PPh Pasal 26,Kabupaten Bolaang Mongondow Utara,5
70479507501,PPh Pasal 26,Kabupaten Minahasa,3
87058418714,PPh Final,Kabupaten Siau Tagulandang Biaro,2
62393863042,PPh Migas,Kabupaten Bolaang Mongondow,1
21684896040,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Utara,0
54415428603,PPh Pasal 23,Kota Bitung,3
2533864235,PPN Dalam Negeri,Kabupaten Minahasa,0
71138510561,PPh Pasal 25/29 OP,Kabupaten Siau Tagulandang Biaro,3
43518090096,PPh Pasal 26,Kabupaten Bolaang Mongondow,1
64675212172,Pendapatan PPh DTP,Kota Tomohon,0
54949672979,PPh Pasal 25/29 Badan,Kabupaten Minahasa Tenggara,3
16511871746,PPN Impor,Kabupaten Minahasa Utara,3
31257247203,PPnBM Lainnya,Kabupaten Minahasa Tenggara,3
62214022688,PPh Pasal 25/29 OP,Kabupaten Siau Tagulandang Biaro,3
42069001142,PPh Migas,Kabupaten Minahasa Utara,3
36625562434,Pajak Lainnya,Kabupaten Kepulauan Talaud,3
11086869597,Pendapatan PPh DTP,Kota Tomohon,0
36105440198,PPh Pasal 23,Kabupaten Bolaang Mongondow Utara,5
83203985412,PPN Impor,Kabupaten Bolaang Mongondow Timur,9
79156133289,PPh Final,Kabupaten Kepulauan Sangihe,2
74213823030,PPh Pasal 22 Impor,Kabupaten Minahasa Tenggara,6
97144177196,PPh Migas,Kabupaten Siau Tagulandang Biaro,3
19647534083,PPh Pasal 25/29 OP,Kota Bitung,3
7077614449,PPh Pasal 22 Impor,Kabupaten Minahasa Selatan,3
69406457959,PPh Pasal 25/29 OP,Kota Kotamobagu,7
54167180220,PPN Impor,Kabupaten Minahasa Utara,3
83614539390,PPh Pasal 25/29 OP,Kabupaten Minahasa Utara,3
91667985635,Pajak Lainnya,Kabupaten Minahasa Selatan,3
59848324638,PPh Final,Kabupaten Minahasa Utara,2
45346813701,PPN Lainnya,Kabupaten Bolaang Mongondow Utara,5
12176630095,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
53051667752,PPh Pasal 22 Impor,Kota Bitung,3
52465871918,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
62616846285,PPh Pasal 22 Impor,Kota Bitung,3
70609125682,PBB dan BPHTB,Kota Tomohon,0
73029340695,PBB dan BPHTB,Kabupaten Minahasa,3
6862298226,PPh Pasal 26,Kota Kotamobagu,1
57751707332,PPh Pasal 22,Kabupaten Minahasa,3
83556351765,PPh Migas,Kabupaten Minahasa Selatan,3
84937457958,PPh Pasal 22 Impor,Kabupaten Minahasa Selatan,3
53875965026,PPh Final,Kabupaten Kepulauan Sangihe,2
61985967826,PPh Pasal 26,Kabupaten Siau Tagulandang Biaro,3
86729377248,Pendapatan PPh DTP,Kabupaten Siau Tagulandang Biaro,3
28832529838,PPnBM Lainnya,Kabupaten Bolaang Mongondow Timur,9
88072112962,PPN Lainnya,Kabupaten Minahasa,3
43814319138,PPh Pasal 23,Kota Bitung,3
60185777128,Pajak Lainnya,Kabupaten Bolaang Mongondow,1
15382455283,PPnBM Lainnya,Kabupaten Minahasa Tenggara,3
14593700814,PPh Pasal 23,Kabupaten Bolaang Mongondow Selatan,6
36016587350,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Utara,0
13027296505,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
30384079101,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Utara,3
87239996644,PPN Lainnya,Kota Kotamobagu,1
37663677043,PPh Pasal 23,Kota Kotamobagu,3
22542195887,PPnBM Lainnya,Kabupaten Minahasa Selatan,3
17978278544,PPh Pasal 26,Kota Kotamobagu,1
50989478233,PPN Dalam Negeri,Kabupaten Siau Tagulandang Biaro,0
42878132594,PPh Pasal 25/29 Badan,Kabupaten Minahasa Tenggara,3
89397641837,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
2606807878,PBB dan BPHTB,Kota Tomohon,0
79163648135,PPh Pasal 25/29 OP,Kabupaten Kepulauan Sangihe,1
55554498604,PPh Pasal 26,Kabupaten Minahasa,3
36322325452,PPh Pasal 25/29 OP,Kabupaten Kepulauan Sangihe,1
99186947382,PPh Pasal 22 Impor,Kabupaten Minahasa Utara,3
70296289747,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Selatan,3
19526917156,PPh Pasal 25/29 OP,Kabupaten Minahasa,3
64974416258,Pajak Lainnya,Kabupaten Siau Tagulandang Biaro,3
51188213814,PPh Pasal 21,Kabupaten Bolaang Mongondow Timur,5
34927869767,PPh Pasal 26,Kabupaten Minahasa Selatan,3
22851713424,PPN Impor,Kabupaten Bolaang Mongondow Timur,9
27097252593,PPN Dalam Negeri,Kota Bitung,0
66162278585,PPh Pasal 26,Kabupaten Bolaang Mongondow Selatan,3
51785750453,PPh Final,Kota Kotamobagu,2
46944628321,PPN Dalam Negeri,Kabupaten Minahasa Selatan,0
11794453858,PPN Lainnya,Kabupaten Minahasa Selatan,3
46115428723,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Utara,3
9323168521,PPh Migas,Kabupaten Bolaang Mongondow,1
68526167585,PPh Pasal 22 Impor,Kabupaten Minahasa,3
7603570825,PPh Pasal 25/29 Badan,Kabupaten Minahasa Selatan,3
51080593661,PBB dan BPHTB,Kabupaten Minahasa Tenggara,3
62316182177,PBB dan BPHTB,Kabupaten Minahasa,3
69463081456,PPN Impor,Kabupaten Kepulauan Talaud,3
81974651332,PPN Dalam Negeri,Kabupaten Kepulauan Talaud,0
86031846867,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Timur,0
43926883685,Pendapatan PPh DTP,Kabupaten Minahasa Selatan,3
6532583747,PPh Pasal 26,Kabupaten Minahasa Utara,3
13404527276,PPh Pasal 22,Kabupaten Minahasa,3
37416443789,Pendapatan PPh DTP,Kabupaten Minahasa Utara,3
96460961932,PPN Dalam Negeri,Kota Kotamobagu,0
52684618504,PPh Pasal 21,Kabupaten Minahasa Utara,5
67773879795,PPh Final,Kabupaten Kepulauan Sangihe,2
91247247438,PPh Pasal 22,Kabupaten Bolaang Mongondow,0
3621252122,PPN Dalam Negeri,Kabupaten Siau Tagulandang Biaro,0
75112891483,PPh Pasal 21,Kabupaten Minahasa Selatan,5
49484664461,PPh Migas,Kabupaten Bolaang Mongondow Timur,9
15962337364,PPN Lainnya,Kota Kotamobagu,1
80844886822,PPh Pasal 26,Kota Tomohon,1
63622799747,PPN Lainnya,Kabupaten Minahasa,3
60002625848,PPh Final,Kabupaten Minahasa Tenggara,2
48622594189,PPh Pasal 22 Impor,Kabupaten Minahasa,3
48125013134,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
24281090234,PPh Pasal 25/29 Badan,Kota Tomohon,0
21916000860,PPh Pasal 22,Kabupaten Kepulauan Sangihe,3
58624860853,PPh Pasal 26,Kabupaten Bolaang Mongondow Utara,5
89432862075,PPh Pasal 26,Kabupaten Minahasa Utara,3
90435067636,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Selatan,3
30002447800,PPh Pasal 26,Kabupaten Kepulauan Sangihe,1
4533168290,PPN Dalam Negeri,Kabupaten Minahasa Selatan,0
61280659152,PPN Impor,Kota Bitung,3
29042009921,PPN Impor,Kabupaten Bolaang Mongondow Selatan,3
50869321379,PPh Pasal 25/29 Badan,Kabupaten Minahasa,3
38470032127,PPN Dalam Negeri,Kota Tomohon,0
94015773189,Pendapatan PPh DTP,Kota Tomohon,0
67620140803,PPh Pasal 22 Impor,Kota Bitung,3
20483954735,Pendapatan PPh DTP,Kota Tomohon,0
35057282222,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Timur,9
91126574581,Pajak Lainnya,Kabupaten Bolaang Mongondow Selatan,3
24861087561,Pendapatan PPh DTP,Kota Tomohon,0
58879127870,PPh Pasal 25/29 OP,Kota Tomohon,1
85986008216,PPh Pasal 25/29 OP,Kabupaten Minahasa Utara,3
73837798877,PPh Pasal 23,Kota Bitung,3
6482459316,PPh Pasal 26,Kabupaten Minahasa,3
5904424482,PPN Lainnya,Kabupaten Bolaang Mongondow,1
64865535040,PPN Lainnya,Kota Bitung,3
38204066842,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow,0
5743206534,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow,1
32589886480,PPh Pasal 23,Kota Bitung,3
58971912883,PPh Pasal 25/29 Badan,Kota Kotamobagu,2
26860270807,PPN Dalam Negeri,Kabupaten Minahasa,0
3306791413,Pendapatan PPh DTP,Kabupaten Minahasa Utara,3
64243841531,PPh Pasal 26,Kabupaten Bolaang Mongondow Timur,9
64700882435,PPN Lainnya,Kabupaten Siau Tagulandang Biaro,3
80152963241,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
59209875367,PPN Impor,Kabupaten Bolaang Mongondow Utara,5
93315798453,PPh Pasal 22,Kabupaten Kepulauan Sangihe,3
25215695958,PBB dan BPHTB,Kota Tomohon,0
80131725075,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Selatan,3
83753471033,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow,1
11119858065,PPh Pasal 21,Kabupaten Bolaang Mongondow,5
13593047261,PPN Impor,Kota Kotamobagu,1
98811016940,PPh Final,Kabupaten Bolaang Mongondow,2
33376293496,PPh Pasal 26,Kota Tomohon,1
39379539952,PPN Impor,Kota Bitung,3
23196498305,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
79288721609,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Timur,9
64594621509,PPh Pasal 26,Kabupaten Minahasa,3
78653313229,PPh Pasal 26,Kabupaten Siau Tagulandang Biaro,3
40030413336,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
82493932575,PPh Pasal 22 Impor,Kabupaten Siau Tagulandang Biaro,3
48685618309,Pajak Lainnya,Kabupaten Bolaang Mongondow,1
70953334266,PPh Final,Kabupaten Bolaang Mongondow Timur,2
54218357325,Pajak Lainnya,Kota Tomohon,1
38646211350,PPh Pasal 26,Kabupaten Minahasa Selatan,3
4118930447,PPnBM Lainnya,Kabupaten Bolaang Mongondow,1
80575118511,Pendapatan PPh DTP,Kota Kotamobagu,1
46943130191,PPh Migas,Kabupaten Minahasa Utara,3
24272763142,PPN Lainnya,Kabupaten Bolaang Mongondow,1
70774226108,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
50324945946,PPN Dalam Negeri,Kabupaten Kepulauan Talaud,0
87062929248,PPh Pasal 23,Kabupaten Minahasa Selatan,3
50542368470,PPh Pasal 25/29 OP,Kota Bitung,3
91026474875,PPh Pasal 23,Kabupaten Bolaang Mongondow Selatan,6
34021890919,PPh Final,Kabupaten Minahasa,2
90100403827,PPh Pasal 21,Kabupaten Kepulauan Sangihe,5
88372820565,Pajak Lainnya,Kabupaten Minahasa Selatan,3
35055482458,PPh Pasal 25/29 OP,Kabupaten Minahasa Selatan,3
41149865712,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
76205568299,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
25625402761,PPh Pasal 22,Kota Kotamobagu,3
76714497668,PPh Pasal 22,Kota Tomohon,0
1515658796,PPh Final,Kabupaten Minahasa Tenggara,2
84853222550,PPh Pasal 25/29 OP,Kabupaten Kepulauan Talaud,3
75765729220,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
14747209462,PPh Pasal 23,Kabupaten Bolaang Mongondow,5
77997190080,PPN Dalam Negeri,Kota Bitung,0
59260748052,PPh Pasal 26,Kabupaten Kepulauan Talaud,3
50858488906,PPN Impor,Kabupaten Minahasa Selatan,3
73080056141,PBB dan BPHTB,Kabupaten Minahasa,3
45782093489,PBB dan BPHTB,Kabupaten Minahasa,3
88820369832,PPh Pasal 25/29 OP,Kota Kotamobagu,7
38026939043,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
27066229392,PPnBM Lainnya,Kota Kotamobagu,1
29994165444,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
62914205963,PPh Pasal 26,Kabupaten Bolaang Mongondow Utara,5
95083631574,PPN Impor,Kabupaten Bolaang Mongondow,1
87520412068,PPN Lainnya,Kabupaten Bolaang Mongondow Timur,9
60901368223,PPh Pasal 21,Kota Bitung,5
49218075465,PPN Lainnya,Kota Bitung,3
95872253197,PPN Dalam Negeri,Kabupaten Minahasa,0
44642212512,PBB dan BPHTB,Kabupaten Bolaang Mongondow,0
45207713823,Pendapatan PPh DTP,Kabupaten Kepulauan Talaud,3
74977622989,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Selatan,3
88952692351,PPN Impor,Kota Tomohon,0
49022533582,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Selatan,3
26090758324,PPh Pasal 26,Kabupaten Bolaang Mongondow,1
39841928778,PPN Dalam Negeri,Kabupaten Minahasa Utara,0
47003826692,PPh Pasal 26,Kabupaten Bolaang Mongondow Selatan,3
67943859408,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
8769438933,PPN Lainnya,Kabupaten Minahasa Tenggara,4
84463425685,PPh Pasal 26,Kabupaten Siau Tagulandang Biaro,3
55122704285,PPh Pasal 23,Kabupaten Bolaang Mongondow,5
42081337635,PPh Pasal 22,Kabupaten Minahasa Tenggara,3
11967484060,PPh Pasal 21,Kabupaten Minahasa Selatan,5
43632038338,PPh Pasal 22 Impor,Kota Kotamobagu,1
69426742760,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
27292246893,PPN Dalam Negeri,Kabupaten Minahasa Utara,0
31444030518,PPh Migas,Kota Bitung,3
72678912819,PPh Final,Kabupaten Kepulauan Sangihe,2
39614154318,PPN Lainnya,Kabupaten Minahasa Selatan,3
43910626410,PPN Impor,Kota Kotamobagu,1
22430494163,PPN Lainnya,Kabupaten Minahasa Selatan,3
91746925407,PPh Pasal 25/29 OP,Kota Bitung,3
88575364105,PPh Migas,Kabupaten Siau Tagulandang Biaro,3
16029613308,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
19595607176,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Selatan,3
85206149197,Pajak Lainnya,Kabupaten Minahasa Selatan,3
22233636126,PPh Final,Kabupaten Bolaang Mongondow Selatan,2
63809756050,PPh Pasal 25/29 Badan,Kabupaten Minahasa,3
8179486297,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
44678095724,PPnBM Lainnya,Kota Tomohon,0
34435572071,PPnBM Lainnya,Kabupaten Bolaang Mongondow Timur,9
11688632445,PPN Dalam Negeri,Kabupaten Siau Tagulandang Biaro,0
6315590387,Pendapatan PPh DTP,Kota Kotamobagu,1
43192697675,Pajak Lainnya,Kabupaten Bolaang Mongondow,1
28013873134,PPN Lainnya,Kabupaten Kepulauan Sangihe,2
44341147296,PPh Pasal 21,Kota Tomohon,5
39595894622,PPh Pasal 25/29 Badan,Kabupaten Minahasa Utara,3
53776618545,PPh Pasal 22 Impor,Kabupaten Minahasa,3
71370507985,PPh Pasal 25/29 Badan,Kabupaten Minahasa Utara,3
17542271783,PPh Pasal 25/29 OP,Kabupaten Minahasa Tenggara,6
16286499948,PPh Pasal 23,Kota Tomohon,5
94817841632,Pajak Lainnya,Kabupaten Kepulauan Talaud,3
28875073493,PBB dan BPHTB,Kabupaten Bolaang Mongondow Utara,3
78830845129,PPN Lainnya,Kabupaten Minahasa,3
78620560783,PPh Pasal 22,Kabupaten Minahasa Utara,3
59469857056,PPh Pasal 22 Impor,Kota Kotamobagu,1
60620547587,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
60822047576,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
92781207058,PPh Pasal 26,Kabupaten Kepulauan Sangihe,1
14089382356,PPh Pasal 22,Kabupaten Kepulauan Sangihe,3
95745165064,PPh Pasal 21,Kabupaten Minahasa Utara,5
41411309266,PPN Lainnya,Kabupaten Kepulauan Talaud,3
93839403287,PPnBM Lainnya,Kabupaten Minahasa Selatan,3
75578227060,PBB dan BPHTB,Kabupaten Siau Tagulandang Biaro,3
73831561352,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
76840731830,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
92394176893,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
61433935208,PPN Dalam Negeri,Kabupaten Kepulauan Sangihe,0
57793161793,PPh Pasal 21,Kabupaten Minahasa Selatan,5
96789851431,PPh Pasal 25/29 OP,Kabupaten Kepulauan Sangihe,1
82538781427,PPh Pasal 25/29 Badan,Kabupaten Minahasa Utara,3
53163726217,PPh Pasal 23,Kabupaten Minahasa,3
94865323078,Pajak Lainnya,Kabupaten Minahasa,3
27692330724,PPN Dalam Negeri,Kota Bitung,0
91685746905,PPN Lainnya,Kota Bitung,3
21199941049,PPh Pasal 21,Kabupaten Minahasa Selatan,5
40886458171,PPh Pasal 22,Kabupaten Kepulauan Talaud,3
64373148314,Pajak Lainnya,Kota Kotamobagu,1
96435192284,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Utara,0
4592285975,PBB dan BPHTB,Kabupaten Siau Tagulandang Biaro,3
28941263114,Pendapatan PPh DTP,Kota Kotamobagu,1
23629940231,PPh Pasal 21,Kota Tomohon,5
6947290841,PPh Pasal 25/29 OP,Kota Kotamobagu,7
11351799261,PPnBM Lainnya,Kabupaten Minahasa,3
37644546541,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Sangihe,2
13921088272,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow,1
29511313042,PPh Pasal 26,Kabupaten Kepulauan Talaud,3
74917556690,Pajak Lainnya,Kota Bitung,3
66293200187,PPh Pasal 21,Kabupaten Bolaang Mongondow Timur,5
76210743957,PPh Pasal 22,Kabupaten Minahasa,3
57483843709,Pendapatan PPh DTP,Kabupaten Minahasa,3
33840117017,PBB dan BPHTB,Kabupaten Kepulauan Talaud,3
56664467825,Pendapatan PPh DTP,Kabupaten Kepulauan Sangihe,2
58345956314,PPh Pasal 25/29 OP,Kabupaten Kepulauan Talaud,3
2290006002,PPh Pasal 23,Kabupaten Minahasa Utara,3
11508738245,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow,0
31230891390,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Selatan,0
53219739462,PPN Lainnya,Kabupaten Bolaang Mongondow,1
79896837337,PPh Pasal 22,Kabupaten Bolaang Mongondow Selatan,3
31533681668,PPN Dalam Negeri,Kota Tomohon,0
18021776063,PPh Pasal 21,Kabupaten Bolaang Mongondow Timur,5
61304212481,PPh Pasal 25/29 OP,Kabupaten Minahasa Selatan,3
96713036937,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Selatan,3
56342000375,PPN Impor,Kabupaten Minahasa Selatan,3
29528548776,PPh Pasal 22 Impor,Kota Kotamobagu,1
30113441620,PPh Pasal 25/29 OP,Kabupaten Siau Tagulandang Biaro,3
16581822621,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
20115939876,PPh Pasal 22,Kabupaten Siau Tagulandang Biaro,3
81569474179,PPh Pasal 21,Kabupaten Siau Tagulandang Biaro,5
36295657109,PPN Dalam Negeri,Kabupaten Kepulauan Sangihe,0
11221142879,PPh Pasal 26,Kota Tomohon,1
21235602286,PPN Dalam Negeri,Kabupaten Kepulauan Talaud,0
71702195162,PPh Pasal 26,Kota Tomohon,1
98465302141,PPh Migas,Kabupaten Siau Tagulandang Biaro,3
12740479982,PPh Pasal 23,Kabupaten Kepulauan Sangihe,8
60291592587,PPnBM Lainnya,Kota Kotamobagu,1
73174577264,PPh Pasal 21,Kabupaten Kepulauan Sangihe,5
23783496671,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Sangihe,2
33361106146,PPh Migas,Kabupaten Bolaang Mongondow,1
10660195367,PPh Pasal 25/29 OP,Kota Bitung,3
58430369128,PBB dan BPHTB,Kabupaten Siau Tagulandang Biaro,3
51420860116,PPh Pasal 22,Kabupaten Minahasa Utara,3
5757306226,PPN Dalam Negeri,Kabupaten Minahasa Utara,0
46056855631,PPN Lainnya,Kabupaten Bolaang Mongondow Timur,9
44120173368,PBB dan BPHTB,Kabupaten Kepulauan Talaud,3
40289080599,PPN Lainnya,Kabupaten Minahasa Selatan,3
65957147113,PPh Final,Kabupaten Kepulauan Sangihe,2
66351737751,PPh Pasal 22,Kota Bitung,3
54796497295,PPh Pasal 25/29 OP,Kabupaten Minahasa Tenggara,6
29874007615,Pendapatan PPh DTP,Kabupaten Kepulauan Talaud,3
54166784402,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow,1
53701770923,PPh Pasal 23,Kabupaten Kepulauan Sangihe,8
58663750678,Pajak Lainnya,Kabupaten Minahasa Selatan,3
75857292886,PPh Final,Kabupaten Kepulauan Talaud,2
62954327380,PPh Pasal 22 Impor,Kabupaten Minahasa Selatan,3
9801644212,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Selatan,0
37405596317,PPh Migas,Kabupaten Bolaang Mongondow Timur,9
4697105857,PPh Migas,Kabupaten Bolaang Mongondow Utara,5
7672542593,PPh Pasal 22 Impor,Kota Kotamobagu,1
29795538818,PPnBM Lainnya,Kabupaten Bolaang Mongondow Selatan,3
79500395281,PPh Pasal 26,Kabupaten Bolaang Mongondow Timur,9
36865356505,PPN Lainnya,Kabupaten Bolaang Mongondow Utara,5
12769766815,PPh Pasal 21,Kota Bitung,5
2964312082,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
93802041249,PPN Impor,Kabupaten Minahasa Tenggara,3
51249782513,PPN Dalam Negeri,Kabupaten Kepulauan Sangihe,0
81183600482,Pajak Lainnya,Kabupaten Bolaang Mongondow Selatan,3
11460179723,PPh Migas,Kabupaten Bolaang Mongondow Timur,9
53961478596,PBB dan BPHTB,Kabupaten Kepulauan Sangihe,2
2949494629,PPh Pasal 23,Kabupaten Bolaang Mongondow Selatan,6
29664628834,PPN Lainnya,Kota Bitung,3
1194753198,PPnBM Lainnya,Kabupaten Minahasa,3
36568732496,PPh Pasal 22 Impor,Kota Kotamobagu,1
95321773463,PPN Dalam Negeri,Kabupaten Kepulauan Sangihe,0
56121191819,PPh Pasal 26,Kabupaten Siau Tagulandang Biaro,3
42126705459,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
33276555280,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Utara,5
24654057772,PPN Lainnya,Kabupaten Kepulauan Sangihe,2
24446492005,PPN Dalam Negeri,Kota Tomohon,0
93490016195,PPN Dalam Negeri,Kabupaten Minahasa,0
55740010354,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow,0
55695079668,PPN Lainnya,Kota Tomohon,0
45554771228,PPh Pasal 22,Kota Kotamobagu,3
22498503054,PPN Dalam Negeri,Kota Bitung,0
33670607340,PPh Pasal 25/29 Badan,Kabupaten Minahasa,3
60195398094,Pajak Lainnya,Kabupaten Minahasa,3
1546097492,PPh Pasal 25/29 OP,Kabupaten Kepulauan Sangihe,1
68283542733,PPh Migas,Kabupaten Bolaang Mongondow Timur,9
3449994938,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Selatan,3
17684661149,PPN Impor,Kota Tomohon,0
65726564283,PPN Impor,Kabupaten Bolaang Mongondow,1
32515562419,PPN Dalam Negeri,Kabupaten Minahasa,0
48546052824,PPnBM Lainnya,Kabupaten Minahasa Selatan,3
6684821053,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Selatan,3
91487327587,PPh Pasal 26,Kabupaten Minahasa Selatan,3
85339819813,PPh Pasal 22,Kota Tomohon,0
27900429926,PPh Pasal 22,Kabupaten Bolaang Mongondow,0
79009156964,PPh Pasal 21,Kabupaten Bolaang Mongondow,5
9813739532,PPN Dalam Negeri,Kabupaten Bolaang Mongondow,0
87661375800,PBB dan BPHTB,Kabupaten Kepulauan Talaud,3
88086883869,PPnBM Lainnya,Kabupaten Bolaang Mongondow Utara,5
42902326903,PPh Pasal 22,Kabupaten Minahasa Selatan,3
43202607060,PBB dan BPHTB,Kabupaten Minahasa,3
88601092917,PPh Pasal 25/29 OP,Kabupaten Minahasa,3
5229120540,PBB dan BPHTB,Kota Bitung,3
80423107191,PPnBM Lainnya,Kabupaten Bolaang Mongondow Timur,9
54800359353,PPh Pasal 22 Impor,Kabupaten Minahasa,3
9749351232,PPh Final,Kabupaten Bolaang Mongondow Selatan,2
17808480074,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
80455601340,PPh Migas,Kabupaten Siau Tagulandang Biaro,3
26193612876,PPN Impor,Kabupaten Minahasa Utara,3
66524788453,PPh Pasal 22 Impor,Kabupaten Minahasa Tenggara,6
19769362918,PPh Pasal 22,Kabupaten Minahasa,3
88567568943,PPh Pasal 22 Impor,Kota Kotamobagu,1
41319528272,PBB dan BPHTB,Kabupaten Siau Tagulandang Biaro,3
84873566503,PPh Pasal 22,Kabupaten Minahasa Tenggara,3
84440889556,PPh Pasal 26,Kabupaten Kepulauan Sangihe,1
42436228865,Pajak Lainnya,Kota Bitung,3
8587951178,PPN Dalam Negeri,Kota Bitung,0
1688519380,PPh Pasal 22 Impor,Kota Bitung,3
19159046892,PPh Final,Kabupaten Bolaang Mongondow,2
18237904978,PPh Pasal 22,Kabupaten Kepulauan Talaud,3
80140150466,PPnBM Lainnya,Kabupaten Bolaang Mongondow,1
57992268633,PPh Pasal 21,Kabupaten Siau Tagulandang Biaro,5
85750332264,PPh Final,Kabupaten Minahasa,2
72415991761,PPh Migas,Kabupaten Minahasa Utara,3
57807372759,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Utara,5
69148127391,PPN Dalam Negeri,Kabupaten Kepulauan Sangihe,0
70758595734,Pendapatan PPh DTP,Kota Kotamobagu,1
41490375646,PPh Pasal 25/29 Badan,Kota Bitung,3
57139746202,PPN Impor,Kota Tomohon,0
58259358454,PPh Pasal 25/29 OP,Kota Kotamobagu,7
54250012689,PPh Final,Kota Tomohon,2
13516552945,Pajak Lainnya,Kabupaten Minahasa,3
2372434300,PPh Pasal 22 Impor,Kota Kotamobagu,1
6744804674,PPh Pasal 22,Kabupaten Bolaang Mongondow Timur,3
37353963757,PPh Pasal 25/29 OP,Kota Bitung,3
16806399325,Pendapatan PPh DTP,Kabupaten Kepulauan Sangihe,2
